TakingPill AcX AcY AcZ GyX GyY GyZ
1 3112 -13612 -8228 9981 -6032 -2073
1 1260 -16008 -7836 -1465 40 1636
1 5476 -11796 -4052 7756 -442 -1283
1 -3184 -21344 -4496 1656 5109 -1815
1 5508 -11212 -6644 -2906 -264 502
1 708 -18104 -4672 222 578 -3082
1 -1468 -20000 -7928 -2366 1340 4326
1 10172 -5096 -3168 -458 -1741 -2571
1 -460 -18404 -5132 -10142 4129 551
1 2668 -13584 -8164 -119 -686 485
1 6504 -8376 -5676 -4724 568 -210
1 2456 -15676 -7852 -8168 1676 -3312
1 3708 -15216 -8968 -8342 1018 969
1 1896 -12840 -10268 -8399 3194 1021
1 1428 -13364 -11464 -12634 -290 1791
1 4308 -11344 -11200 -13532 2016 2325
1 2568 -11964 -12596 -17077 -1138 834
1 1288 -10416 -15084 -14244 275 1650
1 3228 -9720 -12976 -17873 1307 3064
1 2260 -6756 -16568 -17246 3361 3586
1 2740 -5792 -15360 -14828 4930 2531
1 1592 -5024 -17600 -10717 -520 3439
1 4876 -2452 -17120 -7746 417 2858
1 3188 -2412 -16704 -6264 -1470 2819
1 -208 -2188 -19076 -6516 518 1496
1 4972 160 -15948 -6233 -673 2378
1 2280 140 -17560 -6271 1268 -804
1 2440 -232 -16484 -5369 -297 1832
1 980 312 -18092 -4213 4984 -2573
0 5584 1112 -16552 -3098 1663 -1600
0 2168 1184 -18648 -2812 1122 -435
0 4084 1784 -18780 -1996 -704 442
0 2496 1452 -18464 -2194 -1343 158
0 2884 1748 -16944 -2253 -1318 1324
0 3280 3484 -16896 -251 -1651 -219
0 3448 2500 -15268 -443 -22 -575
0 2396 2416 -16636 12 -109 -713
0 3052 3152 -17244 -817 749 -360
0 3288 2628 -18344 -974 639 -215
0 3484 2616 -16960 -921 263 -670
0 3248 2296 -17176 -1145 236 630
0 3124 1948 -17308 1038 22 -873
0 2972 1724 -17656 685 -288 -26
0 3200 2344 -16884 94 250 61
0 3336 2396 -16948 1750 -533 -519
0 3348 1868 -16892 692 257 -1344
0 3124 1960 -18360 1598 -1381 -574
0 2136 1120 -16948 966 -367 -701
0 2276 1232 -17112 1358 -264 -1115
0 2824 888 -17392 1023 252 -1147
0 2964 1052 -17260 1547 -468 -997
0 2564 388 -17892 1068 -1109 696
1 3072 708 -17268 2609 -547 -1648
1 2388 -1028 -16632 5971 -407 -248
1 2428 -912 -18552 10326 -3659 -2173
1 2960 -4056 -16328 12671 2035 -3215
1 2464 -4684 -17960 15061 -2910 -2465
1 208 -7200 -17180 13801 -1537 -3754
1 4716 -6428 -14496 13546 -646 -3711
1 1772 -8776 -14476 14107 -537 -3710
1 3032 -10328 -14656 13180 5 -3224
1 3796 -10720 -12416 11207 -252 -3532
1 3936 -10360 -12000 12723 -537 -3890
1 1576 -13484 -10108 8720 2877 -3100
1 4060 -11944 -12324 8644 -2128 -1220
1 2300 -14028 -9100 7845 -1395 -45
1 3308 -12656 -7596 3369 738 -385
1 2876 -14492 -9828 8705 -2796 -650
1 1996 -16228 -7744 4335 410 1299
1 4360 -12432 -5684 4133 -888 669
1 3576 -16000 -7528 7652 -1900 -1699
1 780 -18016 -6196 573 694 632
1 5484 -10328 -6076 4620 -3195 4053
1 1704 -18396 -2748 7950 1297 -4545
1 1940 -16664 -8620 -2676 909 689
1 5560 -11224 -3176 3223 -1852 1663
1 1264 -17556 -4860 -2037 190 -4155
1 1844 -16768 -6400 -2724 -304 1338
1 4800 -12408 -3656 -11877 3560 1563
1 3620 -14992 -7660 -4584 1675 -1528
1 3116 -16400 -6660 -11025 2532 -378
1 5564 -14620 -8604 -11630 682 722
1 2192 -14072 -10612 -14099 3765 1698
1 4472 -13928 -8644 -15503 4673 3194
1 1716 -9776 -13540 -15330 2466 1141
1 3240 -11696 -11152 -17505 3023 639
1 4064 -8512 -14536 -17830 1432 1259
1 2276 -6872 -17404 -16309 -2834 1262
1 3128 -7332 -14676 -16471 2000 2188
1 3044 -3736 -17140 -16326 -306 2265
1 5144 -1676 -15928 -11869 -980 3145
1 2224 -2260 -16724 -8420 215 1832
1 3264 -588 -17504 -5400 1928 -4239
1 2752 -172 -19204 -4384 1427 -2799
0 2888 -544 -16536 -1843 1668 -6357
0 3440 996 -18128 -1101 112 -3611
0 3536 644 -17024 -688 -451 -2902
0 3808 1632 -17588 -3233 -528 -72
0 3712 1592 -16908 -2584 -397 -422
0 3276 2376 -16840 -2098 -1474 662
0 2856 2576 -17044 -2700 -561 -565
0 3208 1828 -16660 573 -704 -259
0 3676 2680 -17248 -1661 810 -957
0 3160 2012 -17076 -62 194 -890
0 3996 1712 -17284 -981 103 -736
0 2748 1180 -17840 -778 435 -224
0 4520 2560 -17100 -755 149 252
0 2928 1244 -16436 -794 35 925
0 3976 2516 -17360 -1100 426 284
0 3416 2208 -17504 -975 15 946
0 4228 2464 -16356 -539 351 -1
0 3664 1848 -16372 901 -313 1650
0 4352 2412 -17260 1080 980 -1105
0 4028 1840 -18180 3296 -945 -1796
0 2604 348 -17152 782 -601 237
0 3192 916 -18052 1162 -223 -302
0 4224 1308 -16792 689 -1614 2876
1 4008 1324 -17080 3763 -2116 91
1 2716 356 -17440 4429 -2005 -1177
1 2792 -780 -16888 7071 -2414 -116
1 2612 -2260 -17720 9792 -1992 -534
1 2496 -828 -18928 14398 -3474 -2767
1 1524 -4884 -15496 11409 -2396 -1982
1 2088 -5124 -18008 10256 -1116 -4378
1 2944 -6236 -16016 11350 -1698 -4133
1 2800 -6940 -15584 9148 -765 -4699
1 2720 -9360 -13036 8046 3694 -6981
1 3008 -9564 -13300 10189 340 -119
1 3932 -9148 -14304 8355 1412 -2415
1 3020 -10216 -12280 11059 1593 -1901
1 2328 -11468 -13668 9227 3281 -2711
1 4828 -11416 -12132 9184 712 -2278
1 2488 -13600 -12036 8748 160 -2102
1 4064 -14164 -9008 6616 445 -929
1 5372 -13672 -9668 4946 -404 -807
1 4428 -14020 -8600 5368 -929 -760
1 4968 -13320 -8668 4367 -544 -942
1 4324 -15652 -6596 4936 312 162
1 6844 -14428 -7508 4050 -596 -172
1 4152 -15720 -5952 3688 -785 1175
1 5464 -12804 -6864 5583 -2247 1717
1 4676 -16412 -1756 3035 2437 -781
1 4324 -18232 -6412 1668 1821 676
1 5396 -12460 -4492 959 -1457 3881
1 6500 -14216 -2104 3857 384 -5514
1 -1476 -21716 -5212 4417 -3647 -247
1 7236 -10128 204 739 -951 1173
1 5236 -12756 -6252 -273 1653 -3335
1 6340 -13244 -8476 -96 -1598 3569
1 7744 -9980 -300 2847 -1314 -2920
1 -3036 -28016 -4088 -825 38 -1136
1 5796 -15052 -92 -3406 1195 1792
1 10176 -7076 -7420 -3400 1976 -731
1 2976 -18996 -4712 -1992 -1291 -156
1 3968 -12568 -6204 -8474 561 -273
1 4348 -15428 -9092 -6923 1208 171
1 4880 -15056 -7380 -8246 -464 38
1 4824 -12340 -7556 -10225 2580 112
1 4972 -14700 -9028 -14694 4818 1124
1 2712 -14560 -11984 -12281 1197 444
1 4488 -10844 -11624 -16594 2329 -122
1 5260 -10068 -14376 -20906 -153 -684
1 2692 -9328 -13764 -17646 -1751 1224
1 5392 -7956 -14828 -17480 -1956 1140
1 2896 -5896 -17712 -14908 -778 4500
1 6240 -5248 -13932 -12789 -816 2033
1 2256 -3784 -20576 -8658 -737 -163
1 4680 -2540 -15544 -9636 277 2171
0 2448 -2812 -16936 -7537 1917 -2590
0 4312 0 -16920 -4609 -1844 1365
0 4016 -108 -16324 -4399 895 -1092
0 2744 -444 -19160 -5342 752 994
0 3768 244 -18036 -3448 -114 1879
0 3292 1304 -17324 -3358 -483 918
0 3444 588 -16360 -2579 416 1056
0 3404 1708 -18000 -439 -661 366
0 3704 1540 -17296 -784 334 -602
0 3584 1216 -16204 -182 1244 99
0 3684 1948 -17584 -1350 1364 -554
0 3316 328 -18296 1077 -270 -208
0 3796 928 -18092 256 -1123 512
0 3024 416 -16348 -506 -377 917
0 4340 2820 -16844 -1355 429 1319
0 3628 1452 -18032 6 -476 783
0 4476 1700 -17524 -424 640 -214
0 3284 428 -17584 -246 -260 -213
0 4192 1292 -16816 -695 384 -374
0 2940 600 -17960 896 -686 268
0 4468 928 -16952 1406 265 -446
0 3436 360 -17584 2494 334 -1158
0 3944 940 -17260 2051 -38 -1065
0 3780 172 -17252 2200 -739 -959
1 2856 -1188 -18192 2564 -3343 1528
1 4460 232 -16424 4736 -1377 -818
1 2632 -1796 -17280 7332 -1119 -1544
1 3692 -1672 -17864 8861 -2572 -1637
1 2812 -3476 -17872 11928 -2034 -4694
1 2016 -5768 -15756 10788 -1198 -3192
1 2816 -6172 -17588 13858 -1240 -4803
1 2252 -7984 -14436 12029 565 -2873
1 3392 -8744 -16804 14299 -1544 -2532
1 2656 -10028 -13864 14342 2827 -1733
1 4696 -9292 -14660 12359 679 -1948
1 2628 -11668 -13948 12350 1713 -2065
1 5596 -12452 -8672 8599 1255 -2246
1 2264 -13032 -11576 9922 -477 -1652
1 3200 -14036 -10712 10534 -631 -1464
1 3368 -13464 -8036 6967 -1814 910
1 3036 -16588 -6908 10888 -1333 1136
1 3088 -16132 -7536 3413 1709 1523
1 8960 -9668 -3984 5957 -4470 3065
1 2660 -18792 -4840 7069 955 -4697
1 816 -18956 -4720 -739 1689 2191
1 4744 -11628 -2716 1393 -321 4801
1 4068 -15788 -3524 5690 92 -2971
1 1948 -18864 -5764 235 -853 -386
1 1432 -18504 48 -2999 1644 844
1 5032 -12488 -4808 -1424 -845 1014
1 4548 -15136 -5908 4163 -1551 -2008
1 1028 -20124 -464 972 190 40
1 5512 -12340 -5592 1380 -2114 3319
1 3264 -15784 764 2360 227 -1770
1 1980 -18860 -4920 -3835 1540 -713
1 1132 -15352 -3060 -1086 -977 6141
1 6148 -10192 -3412 -2059 652 -4296
1 1132 -18452 -5124 -5524 1839 -2290
1 3504 -15148 -5228 -9376 3168 -2246
1 3664 -13664 -6384 -12180 1667 408
1 3836 -13672 -8684 -16212 5471 -1920
1 1904 -14600 -7860 -18881 6668 -432
1 3520 -11704 -13460 -19482 653 -2715
1 2444 -13080 -12988 -17657 1926 1679
1 6612 -12456 -9728 -18642 5625 3375
1 7032 -7104 -15780 -13761 3506 -76
1 4624 -9048 -13192 -14081 4271 -10
0 6380 -5952 -17132 -8770 3573 -2080
0 5644 -5940 -14712 -8020 985 2288
